model_name,run_id,status,feature_path,n_features_before_encoding,n_features_after_encoding,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,best_iteration_mean,training_time_seconds,random_seed,model_path,history_path,timestamp
xgboost_v2,xgboost_v2_v1,done,tree,574,693,0.7733300247488268,0.0027166316315749574,0.26064354433310344,0.006869981911710857,278.2,369.56410789489746,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v2\xgboost_v2_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v2\xgboost_v2_history.json,2026-09-01T11:06:43.509339+00:00
catboost_v2_tuned,catboost_v2_tuned_v1,done,tree,574,574,0.7795117395633111,0.0018772509871050023,0.26843301116152385,0.0066843158336131496,719.4,841.0961015224457,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v2_tuned\catboost_v2_tuned_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v2_tuned\catboost_v2_tuned_history.json,2026-09-01T13:03:29.125017+00:00
catboost_v3,catboost_v3_v1,done,tree,739,739,0.7829459493225499,0.001964680615768669,0.2720088342387581,0.005648559284686596,624.6,851.6948487758636,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_history.json,2026-09-01T14:28:00.433037+00:00
catboost_v3,catboost_v3_v1,done,tree,739,739,0.7829459493225499,0.001964680615768669,0.2720088342387581,0.005648559284686596,624.6,882.5152628421783,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_history.json,2026-09-02T06:16:24.751359+00:00
lightgbm_v3,lightgbm_v3_v1,done,tree,739,858,0.7810405681968924,0.0019807790457970283,0.2702073885837821,0.005313432216483999,245.4,168.13693046569824,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm_v3\lightgbm_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm_v3\lightgbm_v3_history.json,2026-09-02T06:19:46.206171+00:00
xgboost_v3,xgboost_v3_v1,done,tree,739,858,0.7776690434150226,0.0022701890253880746,0.2646178539518301,0.005058309242133429,275.4,420.10447573661804,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v3\xgboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v3\xgboost_v3_history.json,2026-09-02T06:27:32.448578+00:00
catboost_v3,catboost_v3_v1,done,tree,739,739,0.7829459493225499,0.001964680615768669,0.2720088342387581,0.005648559284686596,624.6,854.5387551784515,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_history.json,2026-09-02T07:34:23.435851+00:00
lightgbm_v3,lightgbm_v3_v1,done,tree,739,858,0.7810405681968924,0.0019807790457970283,0.2702073885837821,0.005313432216483999,245.4,159.39553308486938,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm_v3\lightgbm_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm_v3\lightgbm_v3_history.json,2026-09-02T07:37:34.852974+00:00
xgboost_v3,xgboost_v3_v1,done,tree,739,858,0.7776690434150226,0.0022701890253880746,0.2646178539518301,0.005058309242133429,275.4,436.8789122104645,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v3\xgboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v3\xgboost_v3_history.json,2026-09-02T07:45:34.166033+00:00
catboost_v3,catboost_v3_v1,done,tree,739,739,0.7829459493225499,0.001964680615768669,0.2720088342387581,0.005648559284686596,624.6,865.185122013092,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_history.json,2026-09-02T08:11:51.008066+00:00
lightgbm_v3,lightgbm_v3_v1,done,tree,739,858,0.7810405681968924,0.0019807790457970283,0.2702073885837821,0.005313432216483999,245.4,165.86551213264465,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm_v3\lightgbm_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm_v3\lightgbm_v3_history.json,2026-09-02T08:15:09.802750+00:00
xgboost_v3,xgboost_v3_v1,done,tree,739,858,0.7776690434150226,0.0022701890253880746,0.2646178539518301,0.005058309242133429,275.4,452.2109000682831,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v3\xgboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v3\xgboost_v3_history.json,2026-09-02T08:23:21.904189+00:00
catboost_v3,catboost_v3_v1,done,tree,739,739,0.7829459493225499,0.001964680615768669,0.2720088342387581,0.005648559284686596,624.6,878.6400511264801,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v3\catboost_v3_history.json,2026-09-02T08:54:06.907540+00:00
lightgbm_v3,lightgbm_v3_v1,done,tree,739,858,0.7810405681968924,0.0019807790457970283,0.2702073885837821,0.005313432216483999,245.4,162.45778894424438,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm_v3\lightgbm_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm_v3\lightgbm_v3_history.json,2026-09-02T08:57:22.113520+00:00
xgboost_v3,xgboost_v3_v1,done,tree,739,858,0.7776690434150226,0.0022701890253880746,0.2646178539518301,0.005058309242133429,275.4,459.2259783744812,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v3\xgboost_v3_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost_v3\xgboost_v3_history.json,2026-09-02T09:05:41.975687+00:00
catboost_v3_final,holdout_eval_001,final_holdout,,,,,,,,,,,,,
